treatment,num_tests,dilution,solution_found,max_gen,slurm_job_id,slurm_task_id,directory
cohort,100,0_90000,False,300,18721578,41,cohort/100/0_90000/17041
cohort,100,0_90000,False,300,18721578,42,cohort/100/0_90000/17042
cohort,100,0_90000,False,300,18721578,43,cohort/100/0_90000/17043
cohort,100,0_90000,False,300,18721578,44,cohort/100/0_90000/17044
cohort,100,0_90000,False,300,18721578,45,cohort/100/0_90000/17045
cohort,100,0_90000,False,300,18721578,46,cohort/100/0_90000/17046
cohort,100,0_90000,False,300,18721578,47,cohort/100/0_90000/17047
cohort,100,0_90000,False,300,18721578,48,cohort/100/0_90000/17048
cohort,100,0_90000,False,300,18721578,49,cohort/100/0_90000/17049
cohort,100,0_90000,False,300,18721578,50,cohort/100/0_90000/17050
reduced,10,0_00000,False,367,18721579,1,reduced/10/0_00000/17001
reduced,10,0_00000,False,602,18721579,2,reduced/10/0_00000/17002
reduced,10,0_00000,False,690,18721579,3,reduced/10/0_00000/17003
reduced,10,0_00000,False,338,18721579,4,reduced/10/0_00000/17004
reduced,10,0_00000,False,397,18721579,5,reduced/10/0_00000/17005
reduced,10,0_00000,False,407,18721579,6,reduced/10/0_00000/17006
reduced,10,0_00000,False,655,18721579,7,reduced/10/0_00000/17007
reduced,10,0_00000,False,995,18721579,8,reduced/10/0_00000/17008
reduced,10,0_00000,False,1891,18721579,9,reduced/10/0_00000/17009
reduced,10,0_00000,False,948,18721579,10,reduced/10/0_00000/17010
reduced,10,0_00000,False,513,18721579,11,reduced/10/0_00000/17011
reduced,10,0_00000,False,199,18721579,12,reduced/10/0_00000/17012
reduced,10,0_00000,False,566,18721579,13,reduced/10/0_00000/17013
reduced,10,0_00000,False,499,18721579,14,reduced/10/0_00000/17014
reduced,10,0_00000,False,358,18721579,15,reduced/10/0_00000/17015
reduced,10,0_00000,False,494,18721579,16,reduced/10/0_00000/17016
reduced,10,0_00000,False,1530,18721579,17,reduced/10/0_00000/17017
reduced,10,0_00000,False,470,18721579,18,reduced/10/0_00000/17018
reduced,10,0_00000,False,903,18721579,19,reduced/10/0_00000/17019
reduced,10,0_00000,False,298,18721579,20,reduced/10/0_00000/17020
reduced,10,0_00000,False,699,18721579,21,reduced/10/0_00000/17021
reduced,10,0_00000,True,3000,18721579,22,reduced/10/0_00000/17022
reduced,10,0_00000,False,451,18721579,23,reduced/10/0_00000/17023
reduced,10,0_00000,False,140,18721579,24,reduced/10/0_00000/17024
reduced,10,0_00000,False,980,18721579,25,reduced/10/0_00000/17025
reduced,10,0_00000,False,621,18721579,26,reduced/10/0_00000/17026
reduced,10,0_00000,False,781,18721579,27,reduced/10/0_00000/17027
reduced,10,0_00000,False,565,18721579,28,reduced/10/0_00000/17028
reduced,10,0_00000,False,950,18721579,29,reduced/10/0_00000/17029
reduced,10,0_00000,False,768,18721579,30,reduced/10/0_00000/17030
reduced,10,0_00000,False,708,18721579,31,reduced/10/0_00000/17031
reduced,10,0_00000,False,506,18721579,32,reduced/10/0_00000/17032
reduced,10,0_00000,False,914,18721579,33,reduced/10/0_00000/17033
reduced,10,0_00000,False,166,18721579,34,reduced/10/0_00000/17034
reduced,10,0_00000,False,532,18721579,35,reduced/10/0_00000/17035
reduced,10,0_00000,False,1543,18721579,36,reduced/10/0_00000/17036
reduced,10,0_00000,False,474,18721579,37,reduced/10/0_00000/17037
reduced,10,0_00000,False,462,18721579,38,reduced/10/0_00000/17038
reduced,10,0_00000,True,3000,18721579,39,reduced/10/0_00000/17039
reduced,10,0_00000,False,936,18721579,40,reduced/10/0_00000/17040
reduced,10,0_00000,False,659,18721579,41,reduced/10/0_00000/17041
reduced,10,0_00000,False,1067,18721579,42,reduced/10/0_00000/17042
reduced,10,0_00000,False,992,18721579,43,reduced/10/0_00000/17043
reduced,10,0_00000,False,703,18721579,44,reduced/10/0_00000/17044
reduced,10,0_00000,False,1833,18721579,45,reduced/10/0_00000/17045
reduced,10,0_00000,False,290,18721579,46,reduced/10/0_00000/17046
reduced,10,0_00000,False,351,18721579,47,reduced/10/0_00000/17047
reduced,10,0_00000,False,394,18721579,48,reduced/10/0_00000/17048
reduced,10,0_00000,False,355,18721579,49,reduced/10/0_00000/17049
reduced,10,0_00000,False,669,18721579,50,reduced/10/0_00000/17050
reduced,10,0_50000,False,1199,18721580,1,reduced/10/0_50000/17001
reduced,10,0_50000,False,3000,18721580,2,reduced/10/0_50000/17002
reduced,10,0_50000,False,3000,18721580,3,reduced/10/0_50000/17003
reduced,10,0_50000,False,708,18721580,4,reduced/10/0_50000/17004
reduced,10,0_50000,False,3000,18721580,5,reduced/10/0_50000/17005
reduced,10,0_50000,False,3000,18721580,6,reduced/10/0_50000/17006
reduced,10,0_50000,False,3000,18721580,7,reduced/10/0_50000/17007
reduced,10,0_50000,False,3000,18721580,8,reduced/10/0_50000/17008
reduced,10,0_50000,False,2862,18721580,9,reduced/10/0_50000/17009
reduced,10,0_50000,False,3000,18721580,10,reduced/10/0_50000/17010
reduced,10,0_50000,False,3000,18721580,11,reduced/10/0_50000/17011
reduced,10,0_50000,False,3000,18721580,12,reduced/10/0_50000/17012
reduced,10,0_50000,False,3000,18721580,13,reduced/10/0_50000/17013
reduced,10,0_50000,False,262,18721580,14,reduced/10/0_50000/17014
reduced,10,0_50000,False,3000,18721580,15,reduced/10/0_50000/17015
reduced,10,0_50000,False,3000,18721580,16,reduced/10/0_50000/17016
reduced,10,0_50000,False,3000,18721580,17,reduced/10/0_50000/17017
reduced,10,0_50000,False,3000,18721580,18,reduced/10/0_50000/17018
reduced,10,0_50000,False,3000,18721580,19,reduced/10/0_50000/17019
reduced,10,0_50000,False,3000,18721580,20,reduced/10/0_50000/17020
reduced,10,0_50000,False,3000,18721580,21,reduced/10/0_50000/17021
reduced,10,0_50000,False,3000,18721580,22,reduced/10/0_50000/17022
reduced,10,0_50000,False,1910,18721580,23,reduced/10/0_50000/17023
reduced,10,0_50000,False,3000,18721580,24,reduced/10/0_50000/17024
reduced,10,0_50000,False,518,18721580,25,reduced/10/0_50000/17025
reduced,10,0_50000,False,3000,18721580,26,reduced/10/0_50000/17026
reduced,10,0_50000,True,3000,18721580,27,reduced/10/0_50000/17027
reduced,10,0_50000,False,3000,18721580,28,reduced/10/0_50000/17028
reduced,10,0_50000,False,3000,18721580,29,reduced/10/0_50000/17029
reduced,10,0_50000,False,3000,18721580,30,reduced/10/0_50000/17030
reduced,10,0_50000,False,875,18721580,31,reduced/10/0_50000/17031
reduced,10,0_50000,False,3000,18721580,32,reduced/10/0_50000/17032
reduced,10,0_50000,False,3000,18721580,33,reduced/10/0_50000/17033
reduced,10,0_50000,False,3000,18721580,34,reduced/10/0_50000/17034
reduced,10,0_50000,False,3000,18721580,35,reduced/10/0_50000/17035
reduced,10,0_50000,False,3000,18721580,36,reduced/10/0_50000/17036
reduced,10,0_50000,False,2418,18721580,37,reduced/10/0_50000/17037
reduced,10,0_50000,False,3000,18721580,38,reduced/10/0_50000/17038
reduced,10,0_50000,False,3000,18721580,39,reduced/10/0_50000/17039
reduced,10,0_50000,False,3000,18721580,40,reduced/10/0_50000/17040
