treatment,size,dilution,task_id,finished,solved
reduced,50,0_90000,37,True,False
reduced,50,0_90000,38,True,False
reduced,50,0_90000,39,True,False
reduced,50,0_90000,40,True,False
reduced,50,0_90000,41,True,False
reduced,50,0_90000,42,True,False
reduced,50,0_90000,43,True,False
reduced,50,0_90000,44,True,False
reduced,50,0_90000,45,True,False
reduced,50,0_90000,46,True,False
reduced,50,0_90000,47,True,False
reduced,50,0_90000,48,True,False
reduced,50,0_90000,49,True,False
reduced,50,0_90000,50,True,False
reduced,50,0_95000,1,True,False
reduced,50,0_95000,2,True,False
reduced,50,0_95000,3,True,False
reduced,50,0_95000,4,True,False
reduced,50,0_95000,5,True,False
reduced,50,0_95000,6,True,False
reduced,50,0_95000,7,True,False
reduced,50,0_95000,8,True,False
reduced,50,0_95000,9,True,False
reduced,50,0_95000,10,True,False
reduced,50,0_95000,11,True,False
reduced,50,0_95000,12,True,False
reduced,50,0_95000,13,True,False
reduced,50,0_95000,14,True,False
reduced,50,0_95000,15,True,False
reduced,50,0_95000,16,True,False
reduced,50,0_95000,17,True,False
reduced,50,0_95000,18,True,False
reduced,50,0_95000,19,True,False
reduced,50,0_95000,20,True,False
reduced,50,0_95000,21,True,False
reduced,50,0_95000,22,True,False
reduced,50,0_95000,23,True,False
reduced,50,0_95000,24,True,False
reduced,50,0_95000,25,True,False
reduced,50,0_95000,26,True,False
reduced,50,0_95000,27,True,False
reduced,50,0_95000,28,True,False
reduced,50,0_95000,29,True,False
reduced,50,0_95000,30,True,False
reduced,50,0_95000,31,True,False
reduced,50,0_95000,32,True,False
reduced,50,0_95000,33,True,False
reduced,50,0_95000,34,True,False
reduced,50,0_95000,35,True,False
reduced,50,0_95000,36,True,False
reduced,50,0_95000,37,True,False
reduced,50,0_95000,38,True,False
reduced,50,0_95000,39,True,False
reduced,50,0_95000,40,True,False
reduced,50,0_95000,41,True,False
reduced,50,0_95000,42,True,False
reduced,50,0_95000,43,True,False
reduced,50,0_95000,44,True,False
reduced,50,0_95000,45,True,False
