treatment,num_tests,dilution,finished,solution_found,max_gen,max_score,max_actual_score,replicate_id,seed,directory
cohort,25,0_00000,True,False,1200,25,25,11,40111,cohort/25/0_00000/40111/
cohort,25,0_00000,False,True,1011,25,25,12,40112,cohort/25/0_00000/40112/
cohort,25,0_00000,False,True,461,25,25,13,40113,cohort/25/0_00000/40113/
cohort,25,0_00000,False,True,512,25,25,14,40114,cohort/25/0_00000/40114/
cohort,25,0_00000,False,True,70,25,25,15,40115,cohort/25/0_00000/40115/
cohort,25,0_00000,False,True,423,25,25,16,40116,cohort/25/0_00000/40116/
cohort,25,0_00000,False,True,455,25,25,17,40117,cohort/25/0_00000/40117/
cohort,25,0_00000,False,True,657,25,25,18,40118,cohort/25/0_00000/40118/
cohort,25,0_00000,True,False,1200,25,25,19,40119,cohort/25/0_00000/40119/
cohort,25,0_00000,True,False,1200,25,25,20,40120,cohort/25/0_00000/40120/
cohort,25,0_00000,True,False,1200,25,25,21,40121,cohort/25/0_00000/40121/
cohort,25,0_00000,False,True,317,25,25,22,40122,cohort/25/0_00000/40122/
cohort,25,0_00000,False,True,180,25,25,23,40123,cohort/25/0_00000/40123/
cohort,25,0_00000,False,True,1001,25,25,24,40124,cohort/25/0_00000/40124/
cohort,25,0_00000,False,True,591,25,25,25,40125,cohort/25/0_00000/40125/
cohort,25,0_00000,False,True,1053,25,25,26,40126,cohort/25/0_00000/40126/
cohort,25,0_00000,False,True,158,25,25,27,40127,cohort/25/0_00000/40127/
cohort,25,0_00000,False,True,438,25,25,28,40128,cohort/25/0_00000/40128/
cohort,25,0_00000,False,True,416,25,25,29,40129,cohort/25/0_00000/40129/
cohort,25,0_00000,False,True,254,25,25,30,40130,cohort/25/0_00000/40130/
cohort,25,0_00000,True,False,1200,25,25,31,40131,cohort/25/0_00000/40131/
cohort,25,0_00000,False,True,581,25,25,32,40132,cohort/25/0_00000/40132/
cohort,25,0_00000,False,True,610,25,25,33,40133,cohort/25/0_00000/40133/
cohort,25,0_00000,True,False,1200,25,25,34,40134,cohort/25/0_00000/40134/
cohort,25,0_00000,True,False,1200,25,25,35,40135,cohort/25/0_00000/40135/
cohort,25,0_00000,False,True,101,25,25,36,40136,cohort/25/0_00000/40136/
cohort,25,0_00000,True,False,1200,25,25,37,40137,cohort/25/0_00000/40137/
cohort,25,0_00000,False,True,63,25,25,38,40138,cohort/25/0_00000/40138/
cohort,25,0_00000,False,True,162,25,25,39,40139,cohort/25/0_00000/40139/
cohort,25,0_00000,False,True,684,25,25,40,40140,cohort/25/0_00000/40140/
cohort,25,0_00000,False,True,247,25,25,41,40141,cohort/25/0_00000/40141/
cohort,25,0_00000,False,True,429,25,25,42,40142,cohort/25/0_00000/40142/
cohort,25,0_00000,False,True,43,25,25,43,40143,cohort/25/0_00000/40143/
cohort,25,0_00000,False,True,96,25,25,44,40144,cohort/25/0_00000/40144/
cohort,25,0_00000,True,False,1200,25,25,45,40145,cohort/25/0_00000/40145/
cohort,25,0_00000,False,True,455,25,25,46,40146,cohort/25/0_00000/40146/
cohort,25,0_00000,False,True,209,25,25,47,40147,cohort/25/0_00000/40147/
cohort,25,0_00000,False,True,738,25,25,48,40148,cohort/25/0_00000/40148/
cohort,25,0_00000,False,True,587,25,25,49,40149,cohort/25/0_00000/40149/
cohort,25,0_00000,False,True,206,25,25,50,40150,cohort/25/0_00000/40150/
cohort,10,0_00000,False,True,182,10,10,1,41101,cohort/10/0_00000/41101/
cohort,10,0_00000,False,True,1418,10,10,2,41102,cohort/10/0_00000/41102/
cohort,10,0_00000,False,True,303,10,10,3,41103,cohort/10/0_00000/41103/
cohort,10,0_00000,False,True,228,10,10,4,41104,cohort/10/0_00000/41104/
cohort,10,0_00000,False,True,252,10,10,5,41105,cohort/10/0_00000/41105/
cohort,10,0_00000,False,True,901,10,10,6,41106,cohort/10/0_00000/41106/
cohort,10,0_00000,False,True,461,10,10,7,41107,cohort/10/0_00000/41107/
cohort,10,0_00000,False,True,369,10,10,8,41108,cohort/10/0_00000/41108/
cohort,10,0_00000,False,True,1174,10,10,9,41109,cohort/10/0_00000/41109/
cohort,10,0_00000,False,True,303,10,10,10,41110,cohort/10/0_00000/41110/
cohort,10,0_00000,True,False,3000,10,10,11,41111,cohort/10/0_00000/41111/
cohort,10,0_00000,False,True,339,10,10,12,41112,cohort/10/0_00000/41112/
cohort,10,0_00000,False,True,411,10,10,13,41113,cohort/10/0_00000/41113/
cohort,10,0_00000,False,True,296,10,10,14,41114,cohort/10/0_00000/41114/
cohort,10,0_00000,False,True,126,10,10,15,41115,cohort/10/0_00000/41115/
cohort,10,0_00000,False,True,369,10,10,16,41116,cohort/10/0_00000/41116/
cohort,10,0_00000,False,True,158,10,10,17,41117,cohort/10/0_00000/41117/
cohort,10,0_00000,False,True,278,10,10,18,41118,cohort/10/0_00000/41118/
cohort,10,0_00000,False,True,1083,10,10,19,41119,cohort/10/0_00000/41119/
cohort,10,0_00000,False,True,293,10,10,20,41120,cohort/10/0_00000/41120/
cohort,10,0_00000,True,False,3000,10,10,21,41121,cohort/10/0_00000/41121/
cohort,10,0_00000,False,True,2446,10,10,22,41122,cohort/10/0_00000/41122/
cohort,10,0_00000,False,True,555,10,10,23,41123,cohort/10/0_00000/41123/
cohort,10,0_00000,False,True,158,10,10,24,41124,cohort/10/0_00000/41124/
cohort,10,0_00000,False,True,207,10,10,25,41125,cohort/10/0_00000/41125/
cohort,10,0_00000,False,True,282,10,10,26,41126,cohort/10/0_00000/41126/
cohort,10,0_00000,False,False,1704,10,10,27,41127,cohort/10/0_00000/41127/
cohort,10,0_00000,False,True,324,10,10,28,41128,cohort/10/0_00000/41128/
cohort,10,0_00000,False,True,340,10,10,29,41129,cohort/10/0_00000/41129/
