problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,replicate_id,seed,directory
smallest,cohort,100,0_50000,False,True,119,118,100,100,True,39,138239,smallest/cohort/100/0_50000/138239/
smallest,cohort,100,0_50000,True,False,-1,300,100,97,False,40,138240,smallest/cohort/100/0_50000/138240/
smallest,cohort,100,0_50000,True,False,-1,300,100,97,False,41,138241,smallest/cohort/100/0_50000/138241/
smallest,cohort,100,0_50000,True,False,-1,300,100,98,False,42,138242,smallest/cohort/100/0_50000/138242/
smallest,cohort,100,0_50000,True,False,-1,300,99,99,False,43,138243,smallest/cohort/100/0_50000/138243/
smallest,cohort,100,0_50000,False,True,126,125,98,98,True,44,138244,smallest/cohort/100/0_50000/138244/
smallest,cohort,100,0_50000,True,False,-1,300,97,90,False,45,138245,smallest/cohort/100/0_50000/138245/
smallest,cohort,100,0_50000,False,True,292,291,100,100,True,46,138246,smallest/cohort/100/0_50000/138246/
smallest,cohort,100,0_50000,True,False,-1,300,96,91,False,47,138247,smallest/cohort/100/0_50000/138247/
smallest,cohort,100,0_50000,False,True,177,176,100,100,True,48,138248,smallest/cohort/100/0_50000/138248/
smallest,cohort,100,0_50000,True,False,-1,300,100,100,True,49,138249,smallest/cohort/100/0_50000/138249/
smallest,cohort,100,0_75000,True,False,-1,300,100,94,False,0,138300,smallest/cohort/100/0_75000/138300/
smallest,cohort,100,0_75000,True,False,-1,300,100,98,False,1,138301,smallest/cohort/100/0_75000/138301/
smallest,cohort,100,0_75000,False,True,74,73,100,100,True,2,138302,smallest/cohort/100/0_75000/138302/
smallest,cohort,100,0_75000,True,False,-1,300,100,100,True,3,138303,smallest/cohort/100/0_75000/138303/
smallest,cohort,100,0_75000,True,False,-1,300,100,95,False,4,138304,smallest/cohort/100/0_75000/138304/
smallest,cohort,100,0_75000,True,False,-1,300,100,96,False,5,138305,smallest/cohort/100/0_75000/138305/
smallest,cohort,100,0_75000,True,False,-1,300,99,87,False,6,138306,smallest/cohort/100/0_75000/138306/
smallest,cohort,100,0_75000,True,False,-1,300,100,91,False,7,138307,smallest/cohort/100/0_75000/138307/
smallest,cohort,100,0_75000,True,False,-1,300,100,100,True,8,138308,smallest/cohort/100/0_75000/138308/
