problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory,evals,worst_case_evals
grade,full,100,0_00000,False,True,283,282,170,170,True,-1,26,691126,grade/full/200/0_00000/691126/,56757356,56800000
grade,full,100,0_00000,False,True,702,701,200,200,True,-1,27,691127,grade/full/200/0_00000/691127/,140531585,140600000
grade,full,100,0_00000,False,True,269,268,199,199,True,-1,28,691128,grade/full/200/0_00000/691128/,53973014,54000000
grade,full,100,0_00000,False,True,248,247,197,197,True,-1,29,691129,grade/full/200/0_00000/691129/,49778471,49800000
grade,full,100,0_00000,False,True,364,363,192,192,True,-1,30,691130,grade/full/200/0_00000/691130/,72946271,73000000
grade,full,100,0_00000,False,True,432,431,194,194,True,-1,31,691131,grade/full/200/0_00000/691131/,86569052,86600000
grade,full,100,0_00000,False,True,283,282,193,193,True,-1,32,691132,grade/full/200/0_00000/691132/,56767845,56800000
grade,full,100,0_00000,False,True,277,276,200,200,True,-1,33,691133,grade/full/200/0_00000/691133/,55568736,55600000
grade,full,100,0_00000,False,True,503,502,197,197,True,-1,34,691134,grade/full/200/0_00000/691134/,100752900,100800000
grade,full,100,0_00000,False,True,276,275,193,193,True,-1,35,691135,grade/full/200/0_00000/691135/,55368635,55400000
grade,full,100,0_00000,False,True,412,411,198,198,True,-1,36,691136,grade/full/200/0_00000/691136/,82555527,82600000
grade,full,100,0_00000,False,True,709,708,193,193,True,-1,37,691137,grade/full/200/0_00000/691137/,141939902,142000000
grade,full,100,0_00000,False,True,569,568,199,199,True,-1,38,691138,grade/full/200/0_00000/691138/,113939858,114000000
grade,full,100,0_00000,False,True,129,128,193,193,True,-1,39,691139,grade/full/200/0_00000/691139/,25987840,26000000
grade,full,100,0_00000,False,True,671,670,174,174,True,-1,40,691140,grade/full/200/0_00000/691140/,134333839,134400000
grade,full,100,0_00000,False,True,295,294,193,193,True,-1,41,691141,grade/full/200/0_00000/691141/,59183277,59200000
grade,full,100,0_00000,False,True,556,555,199,199,True,-1,42,691142,grade/full/200/0_00000/691142/,111349677,111400000
grade,full,100,0_00000,False,True,414,413,199,199,True,-1,43,691143,grade/full/200/0_00000/691143/,82967684,83000000
grade,full,100,0_00000,False,True,398,397,196,196,True,-1,44,691144,grade/full/200/0_00000/691144/,79763662,79800000
grade,full,100,0_00000,False,True,373,372,195,195,True,-1,45,691145,grade/full/200/0_00000/691145/,74754961,74800000
grade,full,100,0_00000,False,True,1047,1046,199,199,True,-1,46,691146,grade/full/200/0_00000/691146/,209518276,209600000
grade,full,100,0_00000,False,True,375,374,192,192,True,-1,47,691147,grade/full/200/0_00000/691147/,75157435,75200000
grade,full,100,0_00000,False,True,184,183,198,198,True,-1,48,691148,grade/full/200/0_00000/691148/,36984463,37000000
grade,full,100,0_00000,False,True,229,228,198,198,True,-1,49,691149,grade/full/200/0_00000/691149/,45975921,46000000
for-loop-index,full,100,0_00000,False,True,333,332,99,99,True,-1,0,391100,for-loop-index/full/100/0_00000/391100/,33400000,33400000
for-loop-index,full,100,0_00000,False,True,122,121,99,99,True,-1,1,391101,for-loop-index/full/100/0_00000/391101/,12299320,12300000
for-loop-index,full,100,0_00000,False,True,131,130,73,73,True,-1,2,391102,for-loop-index/full/100/0_00000/391102/,13200000,13200000
for-loop-index,full,100,0_00000,False,True,626,625,35,35,True,-1,3,391103,for-loop-index/full/100/0_00000/391103/,62699642,62700000
for-loop-index,full,100,0_00000,False,True,456,455,100,100,True,-1,4,391104,for-loop-index/full/100/0_00000/391104/,45700000,45700000
for-loop-index,full,100,0_00000,False,True,4256,4255,95,95,True,-1,5,391105,for-loop-index/full/100/0_00000/391105/,425695218,425700000
for-loop-index,full,100,0_00000,False,True,6239,6238,98,98,True,-1,6,391106,for-loop-index/full/100/0_00000/391106/,623996227,624000000
for-loop-index,full,100,0_00000,False,True,1885,1884,100,100,True,-1,7,391107,for-loop-index/full/100/0_00000/391107/,188597844,188600000
for-loop-index,full,100,0_00000,False,True,283,282,100,100,True,-1,8,391108,for-loop-index/full/100/0_00000/391108/,28399767,28400000
for-loop-index,full,100,0_00000,False,True,2396,2395,96,96,True,-1,9,391109,for-loop-index/full/100/0_00000/391109/,239696766,239700000
for-loop-index,full,100,0_00000,False,True,31,30,96,96,True,-1,10,391110,for-loop-index/full/100/0_00000/391110/,3200000,3200000
for-loop-index,full,100,0_00000,False,True,2826,2825,69,69,True,-1,11,391111,for-loop-index/full/100/0_00000/391111/,282698549,282700000
for-loop-index,full,100,0_00000,False,True,1183,1182,97,97,True,-1,12,391112,for-loop-index/full/100/0_00000/391112/,118398336,118400000
for-loop-index,full,100,0_00000,False,True,139,138,100,100,True,-1,13,391113,for-loop-index/full/100/0_00000/391113/,14000000,14000000
for-loop-index,full,100,0_00000,False,True,176,175,100,100,True,-1,14,391114,for-loop-index/full/100/0_00000/391114/,17700000,17700000
for-loop-index,full,100,0_00000,False,True,100,99,100,100,True,-1,15,391115,for-loop-index/full/100/0_00000/391115/,10099603,10100000
for-loop-index,full,100,0_00000,False,True,83,82,99,99,True,-1,16,391116,for-loop-index/full/100/0_00000/391116/,8400000,8400000
for-loop-index,full,100,0_00000,False,True,160,159,99,99,True,-1,17,391117,for-loop-index/full/100/0_00000/391117/,16100000,16100000
for-loop-index,full,100,0_00000,False,True,241,240,99,99,True,-1,18,391118,for-loop-index/full/100/0_00000/391118/,24199677,24200000
for-loop-index,full,100,0_00000,False,True,165,164,96,96,True,-1,19,391119,for-loop-index/full/100/0_00000/391119/,16599679,16600000
